"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BC0297221",4.00605339456347e-09,0.677034113949139,0.264,0.127,8.70315099968914e-05,"5","BC029722"
"Sirt31",4.03682039487668e-09,0.919300157614682,0.176,0.071,8.76999230786959e-05,"5","Sirt3"
"Dhx322",4.04101144713137e-09,0.841794470307519,0.199,0.085,8.77909736889289e-05,"5","Dhx32"
"Aspn1",4.05247188727934e-09,0.331512327595689,0.903,0.629,8.80399517511436e-05,"5","Aspn"
"Serp2",4.05300144249479e-09,1.06035980602216,0.139,0.049,8.80514563381993e-05,"5","Serp2"
"Wbp13",4.16877536804959e-09,0.741656981119703,0.282,0.14,9.05666448708774e-05,"5","Wbp1"
"Dnajc5",4.16926995544952e-09,0.360433909807835,0.426,0.243,9.05773897821409e-05,"5","Dnajc5"
"Tufm3",4.23771405707211e-09,0.772976599980633,0.241,0.111,9.20643378898916e-05,"5","Tufm"
"Tmem106c",4.32172754783163e-09,0.972042776050285,0.139,0.05,9.38895309766422e-05,"5","Tmem106c"
"Vangl11",4.33370795358468e-09,0.91354000723179,0.171,0.068,9.41498052916272e-05,"5","Vangl1"
"Aga2",4.35533356259874e-09,0.274435489766742,0.287,0.139,9.46196216474576e-05,"5","Aga"
"Spcs11",4.38505202306135e-09,0.282688285115232,0.56,0.353,9.52652552010079e-05,"5","Spcs1"
"Mosmo1",4.44855120361697e-09,0.27093626428662,0.495,0.285,9.66447748985787e-05,"5","Mosmo"
"Zfp681",4.47839709523998e-09,0.655314553942751,0.245,0.115,9.72931768940885e-05,"5","Zfp68"
"Aldh18a13",4.49854623108566e-09,0.525852088450396,0.389,0.219,9.77309168703359e-05,"5","Aldh18a1"
"Fam173a1",4.50014284426122e-09,0.677023219605429,0.287,0.145,9.77656032915749e-05,"5","Fam173a"
"Med191",4.60250200696572e-09,0.829860113057786,0.19,0.079,9.99893561013303e-05,"5","Med19"
"Med93",4.61515249020006e-09,0.529374436012584,0.329,0.171,0.000100264187849596,"5","Med9"
"Ggps1",4.65035048517543e-09,0.332766394813237,0.366,0.195,0.000101028864290436,"5","Ggps1"
"Ppm1l3",4.65259630590511e-09,0.344539092035996,0.778,0.509,0.000101077654745788,"5","Ppm1l"
"Aatk2",4.66206466523521e-09,0.667362024335089,0.269,0.129,0.000101283354852235,"5","Aatk"
"Ddx46",4.66525420916798e-09,0.316131638247445,0.426,0.242,0.000101352647694174,"5","Ddx46"
"Mbd32",4.66731445551249e-09,0.403292293291607,0.444,0.263,0.000101397406546009,"5","Mbd3"
"Olfr5601",4.83659112015626e-09,0.56428732720003,0.176,0.07,0.000105074942085395,"5","Olfr560"
"Tmem63b1",4.87605757051053e-09,0.545763859645247,0.306,0.155,0.000105932350719341,"5","Tmem63b"
"Fam136a1",4.98339197388896e-09,0.824103261800676,0.213,0.095,0.000108264190632738,"5","Fam136a"
"Bet1l1",5.05693050251065e-09,0.405431027247896,0.315,0.16,0.000109861815167044,"5","Bet1l"
"Med101",5.09182565116249e-09,0.623376272136028,0.245,0.115,0.000110619912271505,"5","Med10"
"P3h23",5.15202665534615e-09,0.521695070625986,0.384,0.216,0.000111927779087395,"5","P3h2"
"Chpt12",5.17039195410977e-09,0.270026144419235,0.556,0.338,0.000112326765203035,"5","Chpt1"
"Brip1os",5.35611992974318e-09,0.639074612497055,0.194,0.082,0.00011636170547367,"5","Brip1os"
"2810004N23Rik1",5.36841571381383e-09,0.570805833701185,0.306,0.155,0.000116628831382605,"5","2810004N23Rik"
"Fbxo61",5.37644846703887e-09,0.650037230691761,0.19,0.078,0.000116803342946419,"5","Fbxo6"
